Before,After
s,
amt,amount
bis,twice
et,and
hr,hour
im,intramuscular
ip,intraperitoneal
iv,intravenous
ivp,intravenous push
ivpb,intravenous piggyback
inj,injection
lin,liniment
liq,liquor
od,right eye
os,left eye
ou,both eyes
qad,every other day
qam,every day before noon
qpm,every day after noon
qh,every hour
qhs,every night at bedtime
qd,every day
qod,every other day
rept,repeat
ss,one half
supp,suppository
susp,suspension
tbsp,tablespoon
tsp,teaspoon
tiw,three times a week
ud,as directed
tab,tablet
tabs,tablets
tbl,tablet
cap,capsule
caps,capsules
twice,2 times
once,1 time
nightly,every night
satchet,sachet
satchets,sachets
sach,sachet
sparys,sprays
0ne,one
b/d,bd
puf,puff
pufs,puffs